,ref,doi,pub_link,doi_short,meta,indigenous,local,knowledge
0,"Abam, T., C. Ofoegbu, C. Osadebe, and A. Gobo, 2000: Impact of hydrology on the Port-Harcourt - Patani-Warri Road. Environmental Geology, 40(1-2), 153-162. Ackerman, F., E.A. Stanton, C. Hope, S. Alberth, J. Fisher, and B. Biewald, 2008: The Cost of Climate Change: What We'll Pay if Global Warming Continues",https://doi.org/10.1007/s002540000106,https://link.springer.com/article/10.1007/s002540000106,10.1007/s002540000106,Publisher link; Analyzed abstract; Exported the abstract,0,1,0
1,"Adano, W.R., T. Dietz, K. Witsenburg, and F. Zaal, 2012: Climate change, violent conflict and local institutions in Kenya's drylands. Journal of Peace Research, 49(1), 65-80.",https://doi.org/10.1177/0022343311427344,https://journals.sagepub.com/doi/10.1177/0022343311427344,10.1177/0022343311427344,Publisher link; Analyzed abstract; Exported the abstract,0,0,0
2,"Adelekan, I.O., 2010: Vulnerability of poor urban coastal communities to flooding in Lagos, Nigeria. Environment and Urbanization, 22(2), 433-450.",https://doi.org/10.1177/0956247810380141,https://journals.sagepub.com/doi/10.1177/0956247810380141,10.1177/0956247810380141,Publisher link; Analyzed abstract; Exported the abstract,0,0,0
3,"Adger, W.N., 2010: Climate change, human well-being and insecurity. New Political Economy, 15(2), 275-292.",https://doi.org/10.1080/13563460903290912,https://www.tandfonline.com/doi/full/10.1080/13563460903290912,10.1080/13563460903290912,Publisher link; Analyzed abstract; Exported the abstract,0,0,0
4,"Adger, W.N., S. Huq, K. Brown, D. Conway, and M. Hulme, 2003: Adaptation to climate change in the developing world. Progress in Development Studies, 3(3), 179-195. Adger, W.N., S. Agrawala, M.M.Q. Mirza, C. Conde, K. O'Brien, J. Pulhin, R. Pulwarty,",https://doi.org/10.1191/1464993403ps060oa,https://journals.sagepub.com/doi/10.1191/1464993403ps060oa,10.1191/1464993403ps060oa,Publisher link,,,
5,"Adrian, R., C.M. O'Reilly, H. Zagarese, S.B. Baines, D.O. Hessen, W. Keller, D.M. Livingstone, R. Sommaruga, D. Straile, and E. Van Donk, 2009: Lakes as sentinels of climate change. Limnology and Oceanography, 54(6), 2283-2297.",https://doi.org/10.4319/lo.2009.54.6_part_2.2283,https://onlinelibrary.wiley.com/resolve/doi?DOI=10.4319/lo.2009.54.6_part_2.2283,10.4319/lo.2009.54.6_part_2.2283,Publisher link; Analyzed abstract; Exported the abstract,0,0,0
6,"Agrawal, A. and N. Perrin, 2009: Climate adaptation, local institutions and rural livelihoods. In: Adapting to Climate Change: Thresholds, Values, Governance [Adger, W.N., I. Lorenzoni, and K.L. O'Brien (eds.)]. Cambridge University Press, Cambridge, UK and New York, NY, USA, pp. 350-367.",https://doi.org/10.1017/CBO9780511596667.023,https://www.cambridge.org/core/books/abs/adapting-to-climate-change/climate-adaptation-local-institutions-and-rural-livelihoods/42ED331F08385EED32EFC5336E057579,10.1017/CBO9780511596667.023,Publisher link; Couldn't analyze abstract,,,
7,"Agrawal, A., D. Nepstad, and A. Chhatre, 2011: Reducing emissions from deforestation and forest degradation. Annual Review of Environment and Resources, 36(1), 373-396.",https://doi.org/10.1146/annurev-environ-042009-094508,https://www.annualreviews.org/doi/10.1146/annurev-environ-042009-094508,10.1146/annurev-environ-042009-094508,Publisher link; Analyzed abstract; Exported the abstract,0,0,0
8,"Ahearn, L.M., 2001: Invitations to Love: Literacy, Love Letters, and Social Change in Nepal. University of Michigan Press, Ann Arbor, MI, USA, 295 pp.",https://doi.org/10.3998/mpub.11264,https://www.press.umich.edu//11260,10.3998/mpub.11264,Publisher link; Couldn't analyze abstract,,,
9,"Ahmed, A.U., S.R. Hassan, B. Etzold, and S. Neelormi, 2012: Rainfall, Food Security and Human Mobility, Bangladesh Case Study. UNU-EHS Report 2, the United Nations University-Institute for Environment and Human Security (UNU-EHS) and CARE, UNU-EHS, Bonn, Germany, 158 pp.",,,,,,,
10,"Ahmed, S.A., N.S. Diffenbaugh, and T.W. Hertel, 2009: Climate volatility deepens poverty vulnerability in developing countries. Environmental Research Letters, 4(3), 034004, doi:10.1088/1748-9326/4/3/034004.",https://doi.org/10.1088/1748-9326/4/3/034004,https://iopscience.iop.org/article/10.1088/1748-9326/4/3/034004,10.1088/1748-9326/4/3/034004,Publisher link; Couldn't analyze abstract,,,
11,"Ahmed, S.A., N.S. Diffenbaugh, T.W. Hertel, D.B. Lobell, N. Ramankutty, A.R. Rios, and",,,,,,,
12,"Ajanovic, A., 2011: Biofuels versus food production: does biofuels production increase food prices? Energy, 36(4), 2070-2076.",https://doi.org/10.1016/j.energy.2010.05.019,https://linkinghub.elsevier.com/retrieve/pii/S0360544210002896,10.1016/j.energy.2010.05.019,Publisher link; Analyzed abstract; Exported the abstract,0,0,0
13,"Aksoy, A. and A. Isik-Dikmelik, 2008: Are Low Food Prices Pro-Poor? Net Food Buyers and Sellers in Low-Income Countries. Policy Research Working Paper 4642, the Trade Team, Development Research Group, the International Bank for Reconstruction and Development / The World Bank, Washington, DC, USA, 30 pp. Akter, S., R. Brouwer, P.J.H. van Beukering, L. French, E. Silver, S. Choudhury, and S.S.",https://doi.org/10.1596/1813-9450-4642,https://elibrary.worldbank.org/doi/abs/10.1596/1813-9450-4642,10.1596/1813-9450-4642,Publisher link,,,
14,"Alderman, H., 2010: Safety nets can help address the risks to nutrition from increasing climate variability. The Journal of Nutrition, 140(Suppl. 1), 148S-152S.",https://doi.org/10.3945/jn.109.110825,https://academic.oup.com/jn/article/140/1/148S/4600294,10.3945/jn.109.110825,Publisher link; Analyzed abstract; Exported the abstract,0,0,0
15,"Alkire, S. and J. Foster, 2011: Understandings and misunderstandings of multidimensional poverty measurement. Journal of Economic Inequality, 9(2), 289-314.",https://doi.org/10.1007/s10888-011-9181-4,https://link.springer.com/article/10.1007/s10888-011-9181-4,10.1007/s10888-011-9181-4,Publisher link; Analyzed abstract; Exported the abstract,0,0,0
