,ref,doi,pub_link,doi_short,meta,indigenous,local,knowledge
0,"A. Wichienkeeo, T.T. Minh, and T.M. Hong, 2010: Climate as a contributing factor in the demise of Angkor, Cambodia. Proceedings of the National Academy of Sciences of the United States of America, 107(15), 6748-6752.",https://doi.org/10.1073/pnas.0910827107,https://pnas.org/doi/full/10.1073/pnas.0910827107,10.1073/pnas.0910827107,Publisher link; Couldn't analyze abstract,,,
1,"A.E. Punt, H. Revill, and I. van Putten, 2012: Communicating climate change: climate change risk perceptions and rock lobster fishers, Tasmania. Marine Policy, 36(3), 753-759.",https://doi.org/10.1016/j.marpol.2011.10.015,https://linkinghub.elsevier.com/retrieve/pii/S0308597X11001655,10.1016/j.marpol.2011.10.015,Publisher link; Analyzed abstract; Couldn't export the abstract,0,0,0
2,"ACIA, 2005: Arctic Climate Impact Assessment: Scientific Report. Arctic Climate Impact Assessment (ACIA), Cambridge University Press, New York, NY, USA, 1042 pp.",,,,,,,
3,"Adam, C., 2013: Coping with adversity: the macroeconomic management of natural disasters. Environmental Science and Policy, 27(Suppl. 1), S99-S111.",https://doi.org/10.1016/j.envsci.2012.04.007,https://linkinghub.elsevier.com/retrieve/pii/S1462901112000615,10.1016/j.envsci.2012.04.007,Publisher link; Analyzed abstract; Couldn't export the abstract,0,0,0
4,"Adams, H. and W.N. Adger, 2013: The contribution of ecosystem services to place utility as a determinant of migration decision-making. Environmental Research Letters, 8(1), 015006, doi:10.1088/1748-9326/8/1/015006.",https://doi.org/10.1088/1748-9326/8/1/015006,https://iopscience.iop.org/article/10.1088/1748-9326/8/1/015006,10.1088/1748-9326/8/1/015006,Publisher link; Couldn't analyze abstract,,,
5,"Adams, V., T.V. Hattum, and D. English, 2009: Chronic disaster syndrome: displacement, disaster capitalism, and the eviction of the poor from New Orleans. American Ethnologist, 36(4), 615-636.",https://doi.org/10.1111/j.1548-1425.2009.01199.x,https://onlinelibrary.wiley.com/doi/10.1111/j.1548-1425.2009.01199.x,10.1111/j.1548-1425.2009.01199.x,Publisher link; Analyzed abstract; Couldn't export the abstract,0,0,0
6,"Adano, W.R., T. Dietz, K. Witsenburg, and F. Zaal, 2012: Climate change, violent conflict and local institutions in Kenya's drylands. Journal of Peace Research, 49(1), 65-80.",https://doi.org/10.1177/0022343311427344,https://journals.sagepub.com/doi/10.1177/0022343311427344,10.1177/0022343311427344,Publisher link; Analyzed abstract; Couldn't export the abstract,0,0,0
7,"Adelekan, I.O., 2010: Vulnerability of poor urban coastal communities to flooding in Lagos, Nigeria. Environment and Urbanization, 22(2), 433-450.",https://doi.org/10.1177/0956247810380141,https://journals.sagepub.com/doi/10.1177/0956247810380141,10.1177/0956247810380141,Publisher link; Analyzed abstract; Couldn't export the abstract,0,0,0
8,"Adelman, S., 2010: Rethinking human rights: the impact of climate change on the dominant discourse. In: Human Rights and Climate Change [Humphreys, S. (ed.)]. International Council on Human Rights Policy, Cambridge University Press, Cambridge, UK and New York, NY, USA, pp. 159-179.",https://doi.org/10.1017/CBO9780511770722.007,https://www.cambridge.org/core/books/abs/human-rights-and-climate-change/rethinking-human-rights-the-impact-of-climate-change-on-the-dominant-discourse/16A6993767A4A631599269A1DB72619E,10.1017/CBO9780511770722.007,Publisher link; Couldn't analyze abstract,,,
9,"Adger, W.N. and J. Barnett, 2009: Four reasons for concern about adaptation to climate change. Environment and Planning A, 41(12), 2800-2805.",https://doi.org/10.1068/a42244,https://journals.sagepub.com/doi/10.1068/a42244,10.1068/a42244,Publisher link; Analyzed abstract; Couldn't export the abstract,0,0,0
